pop,pop.1,pop.2,pop.3,pop.4,pop.5,pop.6,pop.7,pop.8,pop.9,pop.10,pop.11,pop.12,pop.13,pop.14,pop.15,pop.16,pop
"{Commuter(unique_id=176419723278196551475807007207830673340, geometry=POINT (13460195.571450489 3638422.0541445594), status=home, }",27.0,23.0,14.0,23.0,12.0,12.0,36.0,22.0,28.0,32.0,31.0,36.0,2,6,17,3,9
set(),14.0,13.0,18.0,18.0,4.0,19.0,12.0,21.0,7.0,11.0,11.0,7.0,30,32,37,8,6
"{Commuter(unique_id=69875298747382016740382888212945811512, geometry=POINT (13460976.249127787 3638260.712350638), status=home, , Commuter(unique_id=9532419755031225111192887010687111820, geometry=POINT (13460976.249127787 3638260.712350638), status=home, , Commuter(unique_id=253080510201562566900675391825029384262, geometry=POINT (13460976.249127787 3638260.712350638), status=home, , Commuter(unique_id=181839023257102479190317296863243632299, geometry=POINT (13460976.249127787 3638260.712350638), status=home, , Commuter(unique_id=179816883359376398750728769170734890442, geometry=POINT (13460976.249127787 3638260.712350638), status=home, , Commuter(unique_id=211120799605172161149949531933043248580, geometry=POINT (13460976.249127787 3638260.712350638), status=home, , Commuter(unique_id=188369855428111225763905476633365663888, geometry=POINT (13460976.249127787 3638260.712350638), status=home, , Commuter(unique_id=334470629893243670841859583588799597640, geometry=POINT (13460976.249127787 3638260.712350638), status=home, , Commuter(unique_id=196720884259117787603566585883043768113, geometry=POINT (13460976.249127787 3638260.712350638), status=home, , Commuter(unique_id=7711524047989414811985218229472550317, geometry=POINT (13460976.249127787 3638260.712350638), status=home, , Commuter(unique_id=306434399629473651507875173947442850419, geometry=POINT (13460976.249127787 3638260.712350638), status=home, , Commuter(unique_id=296862818288053545960829525181183703332, geometry=POINT (13460976.249127787 3638260.712350638), status=home, , Commuter(unique_id=265585891233125172719381262513307055511, geometry=POINT (13460976.249127787 3638260.712350638), status=home, , Commuter(unique_id=127932431176919456311302786130646328984, geometry=POINT (13460976.249127787 3638260.712350638), status=home, }",159.0,169.0,167.0,154.0,152.0,164.0,83.0,95.0,85.0,85.0,83.0,91.0,49,46,49,22,17
set(),18.0,8.0,4.0,1.0,18.0,15.0,18.0,18.0,18.0,14.0,11.0,7.0,10,0,1,21,14
set(),18.0,18.0,13.0,7.0,13.0,18.0,18.0,16.0,17.0,0.0,6.0,6.0,5,6,9,17,4
set(),9.0,17.0,0.0,3.0,0.0,11.0,18.0,5.0,14.0,8.0,7.0,3.0,19,17,4,3,9
"{Commuter(unique_id=53283720920175450199676392124391600275, geometry=POINT (13460161.575920485 3638397.7376659494), status=home, , Commuter(unique_id=18040670438941908689848385658651038334, geometry=POINT (13460161.575920485 3638397.7376659494), status=home, }",35.0,39.0,27.0,37.0,30.0,27.0,36.0,24.0,32.0,37.0,20.0,38.0,5,8,17,9,8
set(),15.0,3.0,11.0,12.0,13.0,16.0,2.0,9.0,16.0,5.0,1.0,7.0,5,5,13,26,11
set(),7.0,3.0,13.0,7.0,4.0,12.0,29.0,28.0,38.0,38.0,26.0,30.0,14,6,13,15,9
"{Commuter(unique_id=262022813047797104824441807680868066221, geometry=POINT (13460173.229630742 3638324.7756836032), status=home, , Commuter(unique_id=215573965680970179812642691914053521250, geometry=POINT (13460173.229630742 3638324.7756836032), status=home, , Commuter(unique_id=333301134080014614393896039996340559458, geometry=POINT (13460173.229630742 3638324.7756836032), status=home, }",43.0,51.0,54.0,66.0,48.0,37.0,40.0,30.0,30.0,45.0,38.0,42.0,19,0,4,21,29
set(),9.0,10.0,7.0,5.0,15.0,17.0,17.0,12.0,12.0,18.0,13.0,2.0,3,15,3,17,16
set(),1.0,16.0,18.0,1.0,12.0,19.0,4.0,17.0,7.0,19.0,14.0,16.0,17,5,8,15,17
set(),13.0,4.0,0.0,7.0,9.0,10.0,17.0,11.0,13.0,6.0,3.0,1.0,18,0,7,15,10
set(),6.0,12.0,1.0,4.0,16.0,10.0,12.0,1.0,8.0,15.0,11.0,2.0,6,13,4,10,5
"{Commuter(unique_id=102390721538980400477157839478366630402, geometry=POINT (13460133.135546751 3638332.4244629988), status=home, }",32.0,23.0,24.0,24.0,34.0,36.0,75.0,66.0,65.0,61.0,76.0,68.0,8,0,16,6,8
set(),8.0,5.0,4.0,10.0,12.0,8.0,12.0,18.0,10.0,1.0,19.0,8.0,35,36,38,49,56
set(),15.0,9.0,12.0,14.0,7.0,0.0,9.0,18.0,19.0,18.0,14.0,1.0,13,1,5,6,11
set(),9.0,7.0,5.0,11.0,19.0,0.0,10.0,4.0,19.0,6.0,16.0,10.0,14,7,5,6,4
set(),3.0,7.0,2.0,3.0,0.0,9.0,16.0,4.0,14.0,0.0,16.0,5.0,1,13,6,10,12
set(),3.0,10.0,17.0,12.0,14.0,2.0,11.0,4.0,8.0,14.0,18.0,0.0,6,1,15,11,17
set(),10.0,15.0,18.0,3.0,19.0,19.0,18.0,5.0,18.0,11.0,19.0,5.0,13,10,8,4,11
set(),5.0,10.0,10.0,13.0,18.0,10.0,16.0,13.0,8.0,14.0,9.0,11.0,9,3,0,8,7
set(),2.0,9.0,15.0,4.0,17.0,17.0,3.0,18.0,0.0,18.0,12.0,7.0,15,17,10,17,11
set(),18.0,13.0,18.0,18.0,2.0,7.0,0.0,2.0,5.0,19.0,2.0,12.0,10,10,11,14,11
set(),19.0,15.0,16.0,19.0,14.0,10.0,15.0,11.0,19.0,12.0,16.0,4.0,18,3,11,17,1
set(),11.0,15.0,14.0,2.0,2.0,8.0,49.0,46.0,59.0,48.0,45.0,44.0,5,0,9,11,13
set(),3.0,12.0,1.0,7.0,16.0,8.0,8.0,12.0,7.0,7.0,6.0,16.0,19,23,21,19,25
set(),5.0,1.0,19.0,11.0,1.0,8.0,13.0,7.0,9.0,15.0,12.0,6.0,0,14,7,3,3
"{Commuter(unique_id=207311469758754785709399114348883995226, geometry=POINT (13460207.809061423 3638239.4441638906), status=home, , Commuter(unique_id=296937113731958258165498915227573686676, geometry=POINT (13460207.809061423 3638239.4441638906), status=home, , Commuter(unique_id=98034174429038340093492449756323119026, geometry=POINT (13460207.809061423 3638239.4441638906), status=home, }",35.0,37.0,24.0,18.0,19.0,9.0,42.0,49.0,32.0,32.0,49.0,35.0,3,4,19,8,7
set(),5.0,13.0,12.0,18.0,1.0,8.0,6.0,6.0,3.0,14.0,17.0,8.0,25,10,17,9,19
"{Commuter(unique_id=281592018251419185672269107143869402606, geometry=POINT (13460148.971871916 3638215.2486794875), status=home, }",36.0,35.0,31.0,32.0,36.0,29.0,22.0,14.0,13.0,28.0,24.0,14.0,17,13,8,2,8
set(),5.0,5.0,19.0,9.0,14.0,16.0,17.0,16.0,18.0,1.0,5.0,12.0,25,28,29,28,21
set(),17.0,12.0,4.0,15.0,0.0,12.0,26.0,20.0,29.0,13.0,22.0,24.0,12,14,29,58,66
"{Commuter(unique_id=189696423117601894558840597994082349567, geometry=POINT (13460163.464889046 3638184.673142933), status=home, , Commuter(unique_id=337702710192645747969955175986768266778, geometry=POINT (13460163.464889046 3638184.673142933), status=home, }",35.0,36.0,27.0,27.0,29.0,49.0,53.0,59.0,51.0,63.0,57.0,51.0,36,31,27,15,17
set(),5.0,11.0,14.0,4.0,2.0,19.0,10.0,21.0,10.0,12.0,27.0,15.0,24,14,14,27,22
set(),13.0,9.0,4.0,18.0,16.0,7.0,14.0,15.0,11.0,16.0,1.0,14.0,21,23,28,29,20
set(),1.0,8.0,10.0,9.0,0.0,1.0,16.0,15.0,0.0,12.0,0.0,19.0,17,16,19,17,16
"{Commuter(unique_id=317387157422311985320272361808928120155, geometry=POINT (13460221.079716897 3638097.218950255), status=home, }",13.0,26.0,17.0,15.0,22.0,23.0,40.0,54.0,51.0,44.0,50.0,47.0,28,22,23,26,15
"{Commuter(unique_id=98118322752003937489144118360133374805, geometry=POINT (13460162.248341678 3638126.2960870843), status=home, , Commuter(unique_id=205876704650440650977974777479351887257, geometry=POINT (13460162.248341678 3638126.2960870843), status=home, , Commuter(unique_id=63085013975548186163052878064900688954, geometry=POINT (13460162.248341678 3638126.2960870843), status=home, , Commuter(unique_id=106589770127519856561873937125076054381, geometry=POINT (13460162.248341678 3638126.2960870843), status=home, , Commuter(unique_id=107641027111853777107552751932141959500, geometry=POINT (13460162.248341678 3638126.2960870843), status=home, }",51.0,59.0,61.0,78.0,61.0,68.0,34.0,51.0,41.0,48.0,57.0,51.0,38,38,22,13,30
"{Commuter(unique_id=150806596446716608884777052483818018986, geometry=POINT (13460184.640980009 3638056.7197476686), status=home, , Commuter(unique_id=93397992705452359105055887205879955673, geometry=POINT (13460184.640980009 3638056.7197476686), status=home, , Commuter(unique_id=83908425234541905389757169897770930265, geometry=POINT (13460184.640980009 3638056.7197476686), status=home, , Commuter(unique_id=155937406071526210333967350376560364009, geometry=POINT (13460184.640980009 3638056.7197476686), status=home, , Commuter(unique_id=227929647290115507008276087173112885369, geometry=POINT (13460184.640980009 3638056.7197476686), status=home, , Commuter(unique_id=150769576701069383572105056781672529705, geometry=POINT (13460184.640980009 3638056.7197476686), status=home, }",67.0,83.0,71.0,71.0,75.0,87.0,130.0,129.0,122.0,139.0,137.0,137.0,28,39,38,24,23
set(),8.0,9.0,3.0,18.0,1.0,17.0,19.0,7.0,18.0,9.0,15.0,4.0,35,27,39,31,20
"{Commuter(unique_id=74932753965460903201087079021493119582, geometry=POINT (13460160.345557848 3638006.844850598), status=home, , Commuter(unique_id=305023421040101562995337414933045879508, geometry=POINT (13460160.345557848 3638006.844850598), status=home, , Commuter(unique_id=291135751318553822514511039468829422808, geometry=POINT (13460160.345557848 3638006.844850598), status=home, , Commuter(unique_id=130778773257172314633272894570145448315, geometry=POINT (13460160.345557848 3638006.844850598), status=home, , Commuter(unique_id=29264981706113673320265901988942172555, geometry=POINT (13460160.345557848 3638006.844850598), status=home, }",70.0,69.0,68.0,72.0,73.0,74.0,103.0,97.0,91.0,90.0,75.0,50.0,16,18,2,8,1
set(),8.0,10.0,4.0,0.0,6.0,15.0,6.0,17.0,5.0,19.0,16.0,10.0,17,27,21,1,21
"{Commuter(unique_id=129871451697311719648580429029945550128, geometry=POINT (13460087.128641475 3638015.722422741), status=home, , Commuter(unique_id=184436019840949853224297785826668680045, geometry=POINT (13460087.128641475 3638015.722422741), status=home, }",34.0,32.0,37.0,24.0,28.0,33.0,36.0,26.0,26.0,29.0,29.0,37.0,12,12,3,1,10
set(),9.0,0.0,5.0,6.0,3.0,2.0,7.0,0.0,11.0,14.0,6.0,11.0,16,13,17,20,17
set(),12.0,1.0,19.0,4.0,10.0,13.0,14.0,1.0,12.0,8.0,15.0,6.0,13,5,17,1,18
set(),2.0,0.0,7.0,18.0,6.0,12.0,3.0,18.0,0.0,10.0,4.0,13.0,7,18,18,0,7
"{Commuter(unique_id=10007970232301090693297569929558557087, geometry=POINT (13460214.457578175 3638381.7398408623), status=home, , Commuter(unique_id=336893626463076209533201508036903077011, geometry=POINT (13460214.457578175 3638381.7398408623), status=home, }",20.0,37.0,23.0,39.0,28.0,38.0,14.0,13.0,7.0,5.0,17.0,16.0,4,7,2,3,5
set(),18.0,17.0,3.0,9.0,7.0,11.0,15.0,13.0,4.0,7.0,7.0,15.0,1,7,1,9,13
set(),4.0,4.0,8.0,7.0,0.0,13.0,7.0,0.0,7.0,16.0,12.0,17.0,13,17,10,11,7
"{Commuter(unique_id=128605483822205326241517641490571985678, geometry=POINT (13460937.312296135 3637975.0666859155), status=home, , Commuter(unique_id=92693103239227588531749051189636062114, geometry=POINT (13460937.312296135 3637975.0666859155), status=home, }",31.0,34.0,18.0,11.0,7.0,12.0,16.0,1.0,3.0,4.0,5.0,2.0,4,7,12,1,19
"{Commuter(unique_id=263766905353659204310026355695649917894, geometry=POINT (13460907.653223097 3637914.2403233135), status=home, }",16.0,19.0,27.0,20.0,21.0,11.0,84.0,70.0,86.0,97.0,82.0,90.0,18,7,9,13,2
set(),1.0,9.0,17.0,14.0,1.0,11.0,15.0,12.0,1.0,3.0,18.0,19.0,0,9,6,18,15
set(),15.0,16.0,0.0,2.0,18.0,12.0,13.0,9.0,9.0,16.0,13.0,4.0,22,31,28,27,20
set(),16.0,16.0,4.0,2.0,9.0,19.0,24.0,21.0,23.0,30.0,29.0,24.0,22,25,25,12,16
"{Commuter(unique_id=226483425661755834632593927890224022563, geometry=POINT (13460603.088966671 3638036.2713141995), status=home, }",21.0,28.0,11.0,26.0,28.0,13.0,0.0,18.0,11.0,19.0,20.0,9.0,15,10,3,26,12
"{Commuter(unique_id=186509685162127903096389423979013873525, geometry=POINT (13460782.530811153 3637991.2342416653), status=home, , Commuter(unique_id=86255511772763329964372724618874004347, geometry=POINT (13460782.530811153 3637991.2342416653), status=home, , Commuter(unique_id=207394818273522573324380309174681011558, geometry=POINT (13460782.530811153 3637991.2342416653), status=home, , Commuter(unique_id=333962033798046778966594514686705006822, geometry=POINT (13460782.530811153 3637991.2342416653), status=home, , Commuter(unique_id=302097987802422896115555263790801334100, geometry=POINT (13460782.530811153 3637991.2342416653), status=home, , Commuter(unique_id=168055927392665613052059427464208680081, geometry=POINT (13460782.530811153 3637991.2342416653), status=home, , Commuter(unique_id=269956716458588546658178443879979386520, geometry=POINT (13460782.530811153 3637991.2342416653), status=home, }",82.0,87.0,87.0,81.0,76.0,71.0,36.0,26.0,20.0,25.0,31.0,43.0,21,26,32,21,14
"{Commuter(unique_id=101882335075536725510129089126853732829, geometry=POINT (13460827.143003648 3637953.73175993), status=home, , Commuter(unique_id=322598066267655260459441876867864815750, geometry=POINT (13460827.143003648 3637953.73175993), status=home, , Commuter(unique_id=120378411826398919715404693700257186027, geometry=POINT (13460827.143003648 3637953.73175993), status=home, }",36.0,33.0,44.0,35.0,34.0,48.0,31.0,46.0,35.0,38.0,40.0,47.0,28,32,36,19,24
"{Commuter(unique_id=56478313803394890945733698358170124938, geometry=POINT (13460719.188157825 3637967.51168749), status=home, , Commuter(unique_id=244217389025887008148300769164359266815, geometry=POINT (13460719.188157825 3637967.51168749), status=home, , Commuter(unique_id=148546699879585448797881481193046863058, geometry=POINT (13460719.188157825 3637967.51168749), status=home, }",46.0,41.0,51.0,56.0,58.0,52.0,22.0,35.0,26.0,21.0,28.0,33.0,27,40,33,28,12
"{Commuter(unique_id=248802246656365975469380051997101906302, geometry=POINT (13460608.029794458 3638001.1545143714), status=home, , Commuter(unique_id=111822397786661860354809173888958530717, geometry=POINT (13460608.029794458 3638001.1545143714), status=home, , Commuter(unique_id=169991720657552298325304015227571353978, geometry=POINT (13460608.029794458 3638001.1545143714), status=home, , Commuter(unique_id=334684729298285759368356492295773600928, geometry=POINT (13460608.029794458 3638001.1545143714), status=home, }",19.0,8.0,0.0,15.0,6.0,7.0,32.0,41.0,55.0,40.0,45.0,50.0,15,15,10,27,21
"{Commuter(unique_id=180482446922449735942622201936720206910, geometry=POINT (13460584.141509403 3637974.5582940653), status=home, , Commuter(unique_id=9778545378805967743202487275099401319, geometry=POINT (13460584.141509403 3637974.5582940653), status=home, , Commuter(unique_id=47796936457205405220263826409243178700, geometry=POINT (13460584.141509403 3637974.5582940653), status=home, }",59.0,58.0,47.0,43.0,49.0,54.0,42.0,49.0,18.0,19.0,5.0,16.0,12,10,9,39,43
"{Commuter(unique_id=34104627888608519896988947301204669701, geometry=POINT (13460621.41367319 3637975.8003964815), status=home, , Commuter(unique_id=50071109952262224720224107848706252803, geometry=POINT (13460621.41367319 3637975.8003964815), status=home, }",20.0,27.0,37.0,34.0,20.0,27.0,18.0,14.0,6.0,19.0,3.0,8.0,18,13,15,18,6
set(),8.0,17.0,9.0,11.0,7.0,11.0,3.0,1.0,15.0,7.0,0.0,17.0,27,23,32,26,24
set(),19.0,5.0,4.0,2.0,3.0,0.0,15.0,1.0,11.0,11.0,11.0,12.0,38,26,23,25,21
set(),16.0,4.0,9.0,19.0,13.0,13.0,7.0,15.0,18.0,6.0,1.0,13.0,43,46,45,23,23
"{Commuter(unique_id=229563873880819489980696241829478996342, geometry=POINT (13460658.605256619 3637971.3628355977), status=home, , Commuter(unique_id=144418767780291888973482919341357813059, geometry=POINT (13460658.605256619 3637971.3628355977), status=home, }",28.0,2.0,8.0,11.0,4.0,17.0,36.0,58.0,53.0,55.0,57.0,59.0,22,27,25,24,27
set(),3.0,13.0,3.0,9.0,10.0,1.0,6.0,15.0,16.0,9.0,5.0,4.0,7,7,2,0,15
"{Commuter(unique_id=337931565866021267048148793713310680222, geometry=POINT (13460642.29727151 3637964.5647761533), status=home, }",18.0,17.0,25.0,28.0,19.0,18.0,25.0,12.0,21.0,24.0,29.0,12.0,16,6,11,7,4
set(),15.0,17.0,11.0,7.0,14.0,13.0,13.0,14.0,6.0,7.0,2.0,15.0,17,10,2,19,7
set(),16.0,11.0,6.0,6.0,19.0,8.0,8.0,8.0,14.0,15.0,13.0,7.0,19,16,15,19,11
set(),17.0,1.0,6.0,6.0,19.0,14.0,18.0,13.0,10.0,14.0,12.0,4.0,8,11,2,11,1
set(),15.0,6.0,4.0,0.0,17.0,1.0,2.0,3.0,12.0,14.0,11.0,19.0,17,16,7,8,9
set(),16.0,2.0,13.0,16.0,11.0,17.0,15.0,2.0,18.0,7.0,7.0,17.0,6,11,8,17,15
"{Commuter(unique_id=106923496945889009050967432571830250049, geometry=POINT (13460376.807574498 3637995.876347775), status=home, }",11.0,17.0,11.0,27.0,16.0,20.0,35.0,47.0,34.0,30.0,37.0,30.0,24,22,26,20,34
set(),9.0,3.0,9.0,10.0,2.0,1.0,9.0,13.0,4.0,8.0,0.0,7.0,46,38,38,38,38
set(),6.0,14.0,4.0,13.0,16.0,5.0,11.0,12.0,11.0,14.0,18.0,17.0,21,13,19,15,12
"{Commuter(unique_id=29729928041523995677027886181113641304, geometry=POINT (13460288.467937712 3638140.245600896), status=home, , Commuter(unique_id=148548123692943957148872819548786532944, geometry=POINT (13460288.467937712 3638140.245600896), status=home, , Commuter(unique_id=158967708169361389280357763848931425076, geometry=POINT (13460288.467937712 3638140.245600896), status=home, , Commuter(unique_id=227513091066012833339195975642210933127, geometry=POINT (13460288.467937712 3638140.245600896), status=home, , Commuter(unique_id=336906466618179978045973745121183969331, geometry=POINT (13460288.467937712 3638140.245600896), status=home, , Commuter(unique_id=191940559802362523823629476628879218697, geometry=POINT (13460288.467937712 3638140.245600896), status=home, , Commuter(unique_id=51157805404835312907550485768390381980, geometry=POINT (13460288.467937712 3638140.245600896), status=home, , Commuter(unique_id=74188503108873654277551117605693863132, geometry=POINT (13460288.467937712 3638140.245600896), status=home, , Commuter(unique_id=113959864034183032537556965273464388531, geometry=POINT (13460288.467937712 3638140.245600896), status=home, , Commuter(unique_id=331576008571613617647925783765847349685, geometry=POINT (13460288.467937712 3638140.245600896), status=home, }",115.0,119.0,104.0,101.0,113.0,105.0,160.0,179.0,167.0,175.0,160.0,170.0,11,15,11,9,9
set(),3.0,1.0,0.0,1.0,18.0,0.0,17.0,14.0,26.0,27.0,11.0,19.0,5,14,1,14,0
"{Commuter(unique_id=24270692093030957996291824594369705432, geometry=POINT (13460270.740781289 3638063.673344879), status=home, , Commuter(unique_id=179338412278026418381268721780451114214, geometry=POINT (13460270.740781289 3638063.673344879), status=home, }",20.0,25.0,22.0,38.0,22.0,35.0,12.0,1.0,16.0,18.0,11.0,8.0,7,2,11,7,13
"{Commuter(unique_id=178537873427640109399111892747225830220, geometry=POINT (13460297.125211194 3638058.2451421693), status=home, }",22.0,10.0,29.0,28.0,12.0,21.0,6.0,11.0,18.0,13.0,16.0,10.0,19,0,9,5,3
set(),1.0,16.0,12.0,12.0,17.0,1.0,12.0,6.0,8.0,5.0,9.0,2.0,16,8,1,16,5
"{Commuter(unique_id=263028460705462324429205272541746194819, geometry=POINT (13460298.048183221 3638007.9656000347), status=home, , Commuter(unique_id=289898986885522100654567043680646275948, geometry=POINT (13460298.048183221 3638007.9656000347), status=home, , Commuter(unique_id=60617234460674562147779003629398036469, geometry=POINT (13460298.048183221 3638007.9656000347), status=home, , Commuter(unique_id=214485856796625014053560430692047341703, geometry=POINT (13460298.048183221 3638007.9656000347), status=home, , Commuter(unique_id=304230854781820282346998519657953881275, geometry=POINT (13460298.048183221 3638007.9656000347), status=home, , Commuter(unique_id=236987567802100026635557451370090749505, geometry=POINT (13460298.048183221 3638007.9656000347), status=home, , Commuter(unique_id=206683285810722897572842779265082461088, geometry=POINT (13460298.048183221 3638007.9656000347), status=home, , Commuter(unique_id=241579256355108208145936598582221484853, geometry=POINT (13460298.048183221 3638007.9656000347), status=home, }",94.0,109.0,107.0,98.0,93.0,99.0,81.0,106.0,106.0,108.0,124.0,122.0,7,10,7,9,7
set(),0.0,10.0,7.0,19.0,16.0,15.0,14.0,17.0,8.0,1.0,9.0,14.0,5,19,4,17,11
set(),9.0,8.0,17.0,10.0,1.0,11.0,14.0,8.0,18.0,0.0,17.0,12.0,11,2,2,3,6
set(),2.0,7.0,7.0,18.0,1.0,0.0,16.0,19.0,17.0,13.0,14.0,6.0,22,29,28,29,31
set(),8.0,9.0,2.0,17.0,15.0,6.0,7.0,3.0,8.0,1.0,16.0,1.0,25,11,11,27,12
